Elixir of Concentration,700,10000,20000,y
Elixir of Will,702,10000,20000,y
Elixir of Fury,704,10000,45000,y
Elixir of Life,708,10000,y,n
Elixir of Time,749,10000,88000,y
Melted Iron Shard,4051,20000,8500,y
Iron Ingot,4052,10000,40000,y
Pure Iron Crystal,4053,2000,y,n
Lead Ingot,4055,10000,47500,y
Pure Lead Crystal,4056,2000,y,n
Copper Ingot,4058,10000,39000,y
Pure Copper Crystal,4059,2000,y,n
Pure Tin Crystal,4062,2000,y,n
Melted Zinc Shard,4063,20000,22000,y
Zinc Ingot,4064,10000,88000,y
Brass Ingot,4066,10000,58000,y
Bronze Ingot,4067,10000,50000,y
Steel,4077,10000,30000,y
Pure Vanadium Crystal,4080,2000,y,n
Melted Titanium Shard,4081,20000,24000,y
Pure Titanium Crystal,4083,2000,y,n
Melted Noc Shard,4085,20000,20000,y
Noc Ingot,4086,10000,83000,y
Pure Noc Crystal,4087,2000,y,n
Red Crystal,4468,20000,30000,y
Black Crystal,4470,20000,45000,y
Black Stone Powder,4901,20000,3300,y
Cotton Yarn,5851,20000,22000,y
Flax Thread,5852,20000,4000,y
Silk Thread,5853,20000,14000,y
Knitting Yarn,5854,20000,11500,y
Cotton Fabric,5855,10000,90000,y
Silk,5857,10000,55000,y
Wool,5858,10000,60000,y
Soft Hide,6151,20000,5000,y
Tough Hide,6152,20000,6300,y
Thick Fur,6155,20000,15000,y
Lightweight Plume,6157,20000,18000,y
Tyrant Blood,6352,10000,n,n
Wheat Flour,7101,20000,n,n
Barley Flour,7102,20000,n,n
Potato Flour,7103,20000,n,n
Sweet Potato Flour,7104,20000,n,n
Corn Flour,7105,20000,n,n
Wheat Dough,7201,20000,n,n
Barley Dough,7202,20000,n,n
Potato Dough,7203,20000,n,n
Sweet Potato Dough,7204,20000,n,n
Corn Dough,7205,20000,n,n
Teff Flour Dough,7206,20000,n,n
Ground Bird Meat,7958,20000,5000,y
Cheese,9062,20000,y,n
Butter,9063,20000,y,n
Vinegar,9066,20000,1700,n
Fruit Wine,9201,10000,3000,n
Pickled Vegetables,9202,10000,3000,n
Cheese Gratin,9203,10000,30000,y
Honey Wine,9206,10000,y,y
Sute Tea,9207,10000,30000,y
Fig Pie,9216,10000,8000,y
Teff Sandwich,9218,10000,n,n
Date Palm Wine,9219,10000,6700,n
Couscous,9220,10000,y,n
Stir-Fried Vegetables,9241,10000,8200,n
Makgeolli,9262,10000,2000,y
Milk Tea,9263,10000,30000,y
Ham Sandwich,9267,10000,38000,y
Tea With Fine Scent,9270,10000,10000,y
Smooth Milk Tea,9277,10000,n,n
Full-bodied Makgeolli,9279,10000,n,n
Sweet and Sour Pickled Vegetable,9281,10000,9000,n
Chewy Cheese Gratin,9282,10000,60000,y
Crispy Stir-Fried Vegetables,9284,10000,n,n
High-Quality Ham Sandwich,9290,10000,75000,y
Tea with Strong Scent,9292,10000,y,n
Healthy Sute Tea,9296,10000,n,n
Sweet Fig Pie,9301,10000,n,n
Spicy Teff Sandwich,9303,10000,n,n
Mild Date Palm Wine,9304,10000,10000,n
Classic Couscous,9305,10000,y,n
Coconut Cocktail,9307,10000,3500,y
Chilled Coconut Cocktail,9310,10000,n,n
Balacs Lunchbox,9359,10000,y,n
Smoked Fish Steak,9417,10000,y,n
Dark Pudding,9422,10000,25000,y
Golden Smoked Fish Steak,9445,10000,n,n
Bloody Dark Pudding,9448,10000,75000,y
Grilled Bird Meat,9492,10000,y,n
Steaming Hot Grilled Bird Meat,9493,10000,8000,n
Balenos Meal,9601,10000,25000,y
Special Balenos Meal,9602,10000,90000,y
Mediah Meal,9607,10000,35000,n
Special Mediah Meal,9608,10000,120000,n
Valencia Meal,9609,10000,35000,y
Special Valencia Meal,9610,10000,120000,y
O'dyllita Meal,9638,10000,40000,y
Special O'dyllita Meal,9639,10000,125000,y
Transparent Empty Bottle,16102,10000,y,n
Lump of Raw Sugar,54003,1000,7000,y
Organic Feed,54018,10000,43000,n
Cooked Rice,820815,10000,y,n
